Price,Company,Processor,Operating System,RAM,Type,Warranty,Inches,TouchScreen,HDD,SSD
51098,HP,AMD Ryzen 5 Hexa Core Processor,64bitWindows11,8,Pavilion,1 Year Onsite Warranty,14,NO,,512
38490,DELL,Intel Core i3 Processor (10th Gen),64bitWindows10,8,N\A,1 Year Onsite Warranty,15.6,NO,1024,256
71990,HP,Intel Core i5 Processor (12th Gen),Windows11,16,N\A,1 Year Warranty,,NO,,512
60990,Lenovo,AMD Ryzen 5 Hexa Core Processor,Windows11,16,IdeaPad,1 Year Carry-in Warranty,14,NO,,512
86990,Lenovo,Intel Core i7 Processor (13th Gen),Windows11,16,IdeaPad,1 Year Carry-in Warranty,16,NO,,512
106990,MSI,Intel Core i7 Processor (12th Gen),Windows11,16,N\A,2 Year Carry-in Warranty,15.6,NO,,1024
50990,Lenovo,Intel Core i5 Processor (11th Gen),Windows11,16,IdeaPad,1 Year Onsite Warranty + 1 Year ADP,,NO,,512
57990,HP,Intel Core i5 Processor (11th Gen),Windows11,16,N\A,1 Year Onsite Warranty,16.1,NO,,512
58990,HP,Intel Core i5 Processor (11th Gen),Windows11,8,N\A,1 Year Onsite Warranty,16.1,NO,,512
42990,ASUS,Intel Core i3 Processor (11th Gen),Windows11,16,VivoBook,1 Year Onsite Warranty,15.6,NO,,512
37990,Infinix,Intel Core i3 Processor (11th Gen),64bitWindows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,256
60790,Lenovo,Intel Core i7 Processor (11th Gen),64bitWindows11,16,IdeaPad,1-year warranty,,NO,,512
106990,APPLE,Apple M2 Processor,Mac,8,MacBook Air,,13.6,NO,,256
32990,HP,AMD Ryzen 3 Dual Core Processor,Windows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
63990,HP,Intel Core i5 Processor (12th Gen),64bitWindows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
12990,Primebook,MediaTek MT8788 Processor,Prime,4,Primebook,1 Year Pick and Drop Warranty,11.6,NO,,
37990,Infinix,Intel Core i5 Processor (12th Gen),Windows11,16,N\A,1 Year Onsite Warranty,14,NO,,512
55490,Lenovo,Intel Core i5 Processor (11th Gen),Windows11,8,IdeaPad,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidentaly Damage Protection,15.6,NO,,512
57990,HP,AMD Ryzen 7 Octa Core Processor,64bitWindows11,16,N\A,1 Year Onsite Warranty,14,NO,,512
38990,HP,Intel Core i3 Processor (10th Gen),Windows10,8,N\A,1 Year Warranty,,NO,,512
16990,ASUS,Intel Celeron Dual Core Processor,Chrome,4,N\A,1 Year Onsite Warranty,,YES,,
99990,Acer,Intel Core i5 Processor (13th Gen),Windows11,16,Gaming,1 Year International Travelers Warranty (ITW),16,NO,,512
35990,Lenovo,AMD Ryzen 5 Quad Core Processor,Windows11,8,N\A,,,NO,,512
40990,MSI,AMD Ryzen 5 Hexa Core Processor,Windows11,8,N\A,1 Year Carry-in Warranty,14,NO,,512
59990,MSI,AMD Ryzen 7 Octa Core Processor,64bitWindows11,16,N\A,1 Year Warranty Term,,NO,,512
126990,APPLE,Apple M2 Processor,Mac,8,MacBook Air,1 Year Limited Warranty,15.3,NO,,256
64990,Lenovo,AMD Ryzen 5 Hexa Core Processor,Windows11,16,IdeaPad,1 Year Carry-in Warranty,14,YES,,512
37990,HP,AMD Ryzen 3 Quad Core Processor,64bitWindows11,8,N\A,1 Year Onsite Warranty,,NO,,512
114990,Lenovo,Intel Core i7 Processor (13th Gen),Windows11,16,N\A,1 Year Carry-in Warranty,15.6,NO,,512
62990,HP,Intel Core i5 Processor (13th Gen),64bitWindows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
84990,ASUS,Intel Core i7 Processor (12th Gen),Windows11,16,VivoBook,1 Year Onsite Warranty,,NO,,512
55990,MSI,Intel Core i5 Processor (11th Gen),Windows11,16,N\A,2 Year Carry-in Warranty,15.6,NO,1024,256
19990,Infinix,Intel Celeron Quad Core Processor (11th Gen),Windows11,4,N\A,1 Year Onsite Warranty,15.6,NO,,128
58990,HP,Intel Core i5 Processor (11th Gen),Windows11,8,N\A,1 Year Onsite Warranty,16.1,NO,,512
57990,HP,Intel Core i5 Processor (11th Gen),Windows11,16,N\A,1 Year Onsite Warranty,16.1,NO,,512
35990,Infinix,Intel Core i3 Processor (10th Gen),64bitWindows11,8,N\A,1 Year Onsite Warranty,,NO,,256
38990,Lenovo,Intel Core i3 Processor (12th Gen),Windows11,8,IdeaPad,2 Year warranty,,NO,,512
63990,HP,Intel Core i5 Processor (12th Gen),64bitWindows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
78990,Lenovo,Intel Core i5 Processor (12th Gen),Windows11,16,N\A,1 Year Carry-in Warranty,15.6,NO,,512
44990,ASUS,AMD Ryzen 5 Quad Core Processor,Windows11,8,VivoBook,1 Year Onsite Warranty,14,NO,,512
56990,ASUS,Intel Core i5 Processor (12th Gen),Windows11,8,VivoBook,1 Year Onsite Warranty,14,NO,,512
