Price,Company,Processor,Operating System,RAM,Display,Storage,Type,Warranty
23990,Infinix,Intel Celeron Quad Core Processor (11th Gen),Windows 11 Operating System,8,39.01 cm (15.36 inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
35990,ASUS,AMD Ryzen 3 Quad Core Processor,Windows 11 Operating System,8,35.56 cm (14 Inch) Display,512 GB SSD,VivoBook,1 Year Onsite Warranty
57990,Acer,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,Aspire,1 Year International Travelers Warranty
46599,HP,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 Operating System,16,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
32990,HP,AMD Ryzen 3 Dual Core Processor,Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
55490,Lenovo,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,IdeaPad,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidentaly Damage Protection
107990,APPLE,Apple M2 Processor,Mac OS Operating System,8,34.54 cm (13.6 Inch) Display,256 GB SSD,MacBook Air,1 Year Limited Warranty
65990,HP,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,16,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
57990,HP,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,16,35.56 cm (14 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
114990,Lenovo,Intel Core i7 Processor (13th Gen),Windows 11 Operating System,16,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Carry-in Warranty
32990,HP,Intel Core i3 Processor (11th Gen),64 bit Windows 10 Operating System,8,35.56 cm (14 inch) Display,1 TB HDD,N\A,1 Year Onsite Warranty
62990,Lenovo,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,IdeaPad,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year ADP
40990,ASUS,Intel Core i3 Processor (12th Gen),Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,VivoBook,1 Year Onsite Warranty
229990,APPLE,Apple M2 Pro Processor,Mac OS Operating System,16,35.56 cm (14 Inch) Display,1 TB SSD,MacBook Pro,1 Year Limited Warranty
58990,HP,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,8,40.89 cm (16.1 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
57990,HP,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,16,40.89 cm (16.1 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
285490,APPLE,Apple M2 Max Processor,Mac OS Operating System,32,35.56 cm (14 Inch) Display,1 TB SSD,MacBook Pro,1 Year Limited Warranty
99990,ASUS,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,16,33.78 cm (13.3 Inch) Touchscreen Display,512 GB SSD,ZenBook,1 Year Onsite Warranty
63990,HP,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
78990,Lenovo,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,16,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Carry-in Warranty
51990,Lenovo,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
107990,APPLE,Apple M2 Processor,Mac OS Operating System,8,34.54 cm (13.6 Inch) Display,256 GB SSD,MacBook Air,
56390,HP,Intel Core i3 Processor (12th Gen),Windows 11 Operating System,8,35.56 cm (14 Inch) Display,512 GB SSD,Pavilion,1 Year Onsite Warranty
88990,ASUS,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,16,39.62 cm (15.6 Inch) Display,1 TB SSD,Gaming,1 Year Onsite Warranty
32990,HP,AMD Ryzen 3 Dual Core Processor,Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
